thread: n_jobs=1, time=0.56 сек
process: n_jobs=1, time=0.65 сек
thread: n_jobs=2, time=0.56 сек
process: n_jobs=2, time=0.39 сек
thread: n_jobs=3, time=0.56 сек
process: n_jobs=3, time=0.29 сек
thread: n_jobs=4, time=0.56 сек
process: n_jobs=4, time=0.25 сек
thread: n_jobs=5, time=0.56 сек
process: n_jobs=5, time=0.24 сек
thread: n_jobs=6, time=0.56 сек
process: n_jobs=6, time=0.24 сек
thread: n_jobs=7, time=0.56 сек
process: n_jobs=7, time=0.24 сек
thread: n_jobs=8, time=0.58 сек
process: n_jobs=8, time=0.29 сек
thread: n_jobs=9, time=0.56 сек
process: n_jobs=9, time=0.29 сек
thread: n_jobs=10, time=0.56 сек
process: n_jobs=10, time=0.31 сек
thread: n_jobs=11, time=0.56 сек
process: n_jobs=11, time=0.30 сек
thread: n_jobs=12, time=0.58 сек
process: n_jobs=12, time=0.35 сек
thread: n_jobs=13, time=0.56 сек
process: n_jobs=13, time=0.35 сек
thread: n_jobs=14, time=0.56 сек
process: n_jobs=14, time=0.36 сек
thread: n_jobs=15, time=0.56 сек
process: n_jobs=15, time=0.38 сек
thread: n_jobs=16, time=0.56 сек
process: n_jobs=16, time=0.40 сек
